列名: ('款式编号', '款式名称', '分类', '品类模板', '成本价(元)', '面料分类', '面料克重', '季节', '版型', '织造方式', '场景', '场合', '默认SKU分类', '单件毛重(g)', '尺码列表', '备注')

全部款式:
ST-001 | 儿童拉毛卫衣 | 成本:9.5 | 上衣:None | 裤子:180g | 尺码:120-160
ST-052 | 成人篮球短裤 | 成本:17 | 上衣: | 裤子:180g | 尺码:S,M,L,XL,2XL,3XL
ST-053 | 外款4色polo衫 | 成本:15.5 | 上衣: | 裤子:170g | 尺码:S,M,L,XL,2XL
ST-054 | 3色马甲 | 成本:6.5 | 上衣: | 裤子:165g | 尺码:S,M,L,XL,2XL
ST-055 | 成人牛奶丝 | 成本:8.5 | 上衣: | 裤子:180g | 尺码:S,M,L,XL,2XL,3XL
ST-056 | 成人迷彩加绒夹克 | 成本:29 | 上衣: | 裤子:350g | 尺码:S,M,L,XL,2XL,3XL
ST-057 | 成人迷彩夹克 | 成本:21 | 上衣: | 裤子: | 尺码:S,M,L,XL,2XL,3XL
ST-058 | 成人立领超声波夹克 | 成本:31 | 上衣: | 裤子: | 尺码:S,M,L,XL,2XL,3XL
ST-059 | 成人超声波连帽夹克 | 成本:32 | 上衣: | 裤子: | 尺码:S,M,L,XL,2XL,3XL
ST-060 | 成人超声波长裤 | 成本:17 | 上衣: | 裤子: | 尺码:S,M,L,XL,2XL,3XL
ST-061 | 拉毛短裤 | 成本:11 | 上衣: | 裤子:230g | 尺码:S,M,L,XL,2XL,3XL
ST-062 | 亚麻长裤3色 | 成本:15 | 上衣: | 裤子:140g | 尺码:S,M,L,XL,2XL,3XL
ST-063 | 工装裤8色 | 成本:20 | 上衣: | 裤子:140g | 尺码:S,M,L,XL,2XL,3XL
